Marque;Modele;Prix;Annee;Kilometrage;Energie;Transmission;Nombres de portes;Puissance;Nombre de places;Emission de CO2;Consommation de carburant;Couleur;Url
Opel;Crossland x;15650;2019;52000;Essence;Automatique;4;7;5;113;5.6;Rouge;https://www.paruvendu.fr/a/voiture-occasion/opel/crossland-x/1274385601A1KVVOOPCRO
Volkswagen;T-roc;26990;2020;16000;Essence;Automatique;5;8;5;117;5.4;Gris;https://www.paruvendu.fr/a/voiture-occasion/volkswagen/t-roc/1270801163A1KVVOVWTRO
Citroen;C3;10300;2017;28270;Essence;Manuelle;4;4;5;109;4.7;Blanc;https://www.paruvendu.fr/a/voiture-occasion/citroen/c3/1274805119A1KVVOCIC3
Peugeot;2008;13000;2018;67000;Essence;Manuelle;4;7;5;112;5.1;Gris;https://www.paruvendu.fr/a/voiture-occasion/peugeot/2008/1274575404A1KVVOPE2M8
Volvo;V40;17000;2018;102500;Essence;Manuelle;4;7;5;137;5.9;Blanc;https://www.paruvendu.fr/a/voiture-occasion/volvo/v40/1274264931A1KVVOVOV40
Peugeot;308;18600;2019;46600;Essence;Automatique;4;7;5;117;5.1;Noir;https://www.paruvendu.fr/a/voiture-occasion/peugeot/308/1273487747A1KVVOPE308
Citroen;Ds3;10990;2017;60000;Essence;Manuelle;2;5;5;100;4.3;Blanc;https://www.paruvendu.fr/a/voiture-occasion/citroen/ds3/1274360507A1KVVOCIDS3
Citroen;Ds3;10700;2017;52000;Essence;Manuelle;2;4;4;107;4.5;Noir;https://www.paruvendu.fr/a/voiture-occasion/citroen/ds3/1272930212A1KVVOCIDS3
Peugeot;208;11500;2019;38000;Essence;Manuelle;4;4;5;105;4.6;Blanc;https://www.paruvendu.fr/a/voiture-occasion/peugeot/208/1266662517A1KVVOPE208
Peugeot;3008;20500;2018;93200;Essence;Automatique;4;9;5;129;5.7;Blanc;https://www.paruvendu.fr/a/voiture-occasion/peugeot/3008/1271045281A1KVVOPE3M8
Nissan;Qashqai;11700;2014;105415;Essence;Manuelle;4;6;5;139;5.9;Gris;https://www.paruvendu.fr/a/voiture-occasion/nissan/qashqai/1275163392A1KVVONIQAS
Fiat;500;10500;2017;71030;Essence;Manuelle;2;4;4;90;3.8;Vert;https://www.paruvendu.fr/a/voiture-occasion/fiat/500-c/1275098664A1KVVOFI50C
Audi;Q2;25000;2017;90000;Essence;Semi automatique;4;8;5;119;5.2;Gris;https://www.paruvendu.fr/a/voiture-occasion/audi/q2/1275210541A1KVVOAUQ2
Peugeot;3008;17500;2017;75000;Essence;Manuelle;4;7;5;124;5.5;Gris;https://www.paruvendu.fr/a/voiture-occasion/peugeot/3008/1273941717A1KVVOPE3M8
Citroen;C4;7900;2017;145365;Essence;Manuelle;4;7;5;110;4.8;Noir;https://www.paruvendu.fr/a/voiture-occasion/citroen/c4/1273939932A1KVVOCIC4
Smart;Fortwo;7800;2014;54500;Essence;Automatique;2;5;2;114;4.9;Gris;https://www.paruvendu.fr/a/voiture-occasion/smart/fortwo/1274340545A1KVVOSMFTW
Volkswagen;Scirocco;18000;2015;106000;Essence;Automatique;2;10;4;148;6.4;Bleu;https://www.paruvendu.fr/a/voiture-occasion/volkswagen/scirocco/1275200421A1KVVOVWSCI
Peugeot;208;8990;2018;74300;Essence;Manuelle;4;5;5;99;4.3;Gris;https://www.paruvendu.fr/a/voiture-occasion/peugeot/208/1275197140A1KVVOPE208
Peugeot;3008;17900;2018;39500;Essence;Automatique;4;7;5;120;5.5;Gris;https://www.paruvendu.fr/a/voiture-occasion/peugeot/3008/1275196560A1KVVOPE3M8
Hyundai;I30;14400;2018;79000;Essence;Manuelle;4;7;5;124;5.4;Noir;https://www.paruvendu.fr/a/voiture-occasion/hyundai/i30/1273242907A1KVVOHYI30
Peugeot;208;11500;2019;64000;Essence;Manuelle;4;5;5;104;4.5;Blanc;https://www.paruvendu.fr/a/voiture-occasion/peugeot/208/1275057043A1KVVOPE208
Citroen;C3;11500;2019;41800;Essence;Manuelle;4;4;5;105;4.8;Blanc;https://www.paruvendu.fr/a/voiture-occasion/citroen/c3/1275192322A1KVVOCIC3
Nissan;Juke;13900;2018;50500;Essence;Manuelle;4;6;5;128;5.7;Noir;https://www.paruvendu.fr/a/voiture-occasion/nissan/juke/1275191749A1KVVONIJUK
Mini;Cooper;17000;2015;87000;Essence;Manuelle;2;10;4;139;6.0;Rouge;https://www.paruvendu.fr/a/voiture-occasion/mini/cooper-s/1274820535A1KVVOMCCOS
Bmw;Serie 4;30000;2015;71573;Essence;Automatique;2;15;4;158;6.8;Noir;https://www.paruvendu.fr/a/voiture-occasion/bmw/serie-4/1272793005A1KVVOBMS4
Renault;Espace;22000;2018;113500;Essence;Automatique;4;13;5;152;6.8;Noir;https://www.paruvendu.fr/a/voiture-occasion/renault/espace/1274860658A1KVVOREESP
Peugeot;Rifter;14990;2019;112000;Essence;Manuelle;4;6;5;125;5.5;Blanc;https://www.paruvendu.fr/a/voiture-occasion/peugeot/rifter/1275186431A1KVVOPERIF
Peugeot;3008;21000;2019;55600;Essence;Manuelle;4;7;5;113;5.0;Rouge;https://www.paruvendu.fr/a/voiture-occasion/peugeot/3008/1275186264A1KVVOPE3M8
Peugeot;208;9500;2019;62500;Essence;Manuelle;4;4;5;105;4.6;Gris;https://www.paruvendu.fr/a/voiture-occasion/peugeot/208/1274105992A1KVVOPE208
Volkswagen;Golf;16500;2014;61000;Essence;Automatique;4;7;5;124;5.3;Noir;https://www.paruvendu.fr/a/voiture-occasion/volkswagen/golf/1275151439A1KVVOVWGOL
Peugeot;2008;6000;2015;127000;Essence;Manuelle;4;4;5;114;4.9;Blanc;https://www.paruvendu.fr/a/voiture-occasion/peugeot/2008/1275151125A1KVVOPE2M8
Mercedes;Classe gla;19000;2017;92000;Essence;Automatique;4;7;5;131;5.6;Blanc;https://www.paruvendu.fr/a/voiture-occasion/mercedes/classe-gla/1274977154A1KVVOMEGLA
Dacia;Sandero;6900;2019;18068;Essence;Manuelle;4;4;5;117;5.2;Bleu;https://www.paruvendu.fr/a/voiture-occasion/dacia/sandero/1274860731A1KVVODCSAN
Bmw;Serie 1;46500;2020;22500;Essence;Automatique;4;19;5;155;6.8;Blanc;https://www.paruvendu.fr/a/voiture-occasion/bmw/serie-1/1274204358A1KVVOBMS1
Dacia;Sandero;9990;2019;43000;Essence;Manuelle;4;4;5;117;5.2;Blanc;https://www.paruvendu.fr/a/voiture-occasion/dacia/sandero/1275163529A1KVVODCSAN
Nissan;Micra;4900;2015;94650;Essence;Manuelle;4;4;5;115;5.0;Gris;https://www.paruvendu.fr/a/voiture-occasion/nissan/micra/1275173410A1KVVONIMIC
Peugeot;2008;11700;2019;99000;Essence;Manuelle;4;7;5;112;5.1;Blanc;https://www.paruvendu.fr/a/voiture-occasion/peugeot/2008/1275166926A1KVVOPE2M8
Mazda;Cx-3;15900;2016;92000;Essence;Automatique;4;8;5;146;6.3;Gris;https://www.paruvendu.fr/a/voiture-occasion/mazda/cx-3/1275165609A1KVVOMACX3
Kia;Picanto;10300;2018;25000;Essence;Manuelle;4;4;5;106;4.6;Rouge;https://www.paruvendu.fr/a/voiture-occasion/kia/picanto/1275008741A1KVVOKIPIC
Peugeot;2008;11000;2017;56000;Essence;Automatique;4;6;5;110;4.8;Gris;https://www.paruvendu.fr/a/voiture-occasion/peugeot/2008/1274776284A1KVVOPE2M8
Peugeot;2008;10250;2019;62300;Essence;Manuelle;4;4;5;112;5.0;Gris;https://www.paruvendu.fr/a/voiture-occasion/peugeot/2008/1273644509A1KVVOPE2M8
Volkswagen;Polo;9995;2014;106611;Essence;Manuelle;4;5;5;107;4.7;Gris;https://www.paruvendu.fr/a/voiture-occasion/volkswagen/polo/1275185886A1KVVOVWPOL
Volkswagen;Up;8400;2015;17100;Essence;Automatique;2;3;4;103;4.4;Gris;https://www.paruvendu.fr/a/voiture-occasion/volkswagen/up/1274911399A1KVVOVWUP
Renault;Captur;7500;2015;122000;Essence;Manuelle;4;5;5;113;4.9;Ivoire;https://www.paruvendu.fr/a/voiture-occasion/renault/captur/1275177143A1KVVORECAP
Dacia;Dokker;8900;2017;142000;Essence;Manuelle;4;6;5;130;5.7;Bleu;https://www.paruvendu.fr/a/voiture-occasion/dacia/dokker/1275145150A1KVVODCDOK
Ford;Ecosport;12500;2019;67500;Essence;Manuelle;4;6;5;120;5.3;Bleu;https://www.paruvendu.fr/a/voiture-occasion/ford/ecosport/1275060190A1KVVOFOECO
Ford;Focus;24000;2019;46500;Essence;Automatique;4;10;5;119;5.5;Gris;https://www.paruvendu.fr/a/voiture-occasion/ford/focus/1275142631A1KVVOFOFOC
Peugeot;3008;19990;2018;62300;Essence;Manuelle;4;7;5;113;5.0;Blanc;https://www.paruvendu.fr/a/voiture-occasion/peugeot/3008/1275058445A1KVVOPE3M8
Citroen;C3;9490;2017;39500;Essence;Manuelle;4;4;5;107;4.6;Bleu;https://www.paruvendu.fr/a/voiture-occasion/citroen/c3/1274024254A1KVVOCIC3
Volkswagen;Touran;29100;2019;41000;Essence;Automatique;4;8;7;117;5.5;Gris;https://www.paruvendu.fr/a/voiture-occasion/volkswagen/touran/1274969024A1KVVOVWTOU
Toyota;Yaris;8790;2015;126700;Essence;Manuelle;4;5;5;114;4.9;Gris;https://www.paruvendu.fr/a/voiture-occasion/toyota/yaris/1274187687A1KVVOTOYAR
Bmw;Serie 4;23900;2018;42000;Essence;Manuelle;4;10;5;149;6.5;Noir;https://www.paruvendu.fr/a/voiture-occasion/bmw/serie-4/1273301796A1KVVOBMS4
Mercedes;Classe glc;79900;2019;59900;Essence;Automatique;4;42;5;259;11.4;Blanc;https://www.paruvendu.fr/a/voiture-occasion/mercedes/classe-glc/1272588965A1KVVOMEGLC
Smart;Fortwo;10000;2016;38975;Essence;Automatique;2;4;2;96;4.1;Blanc;https://www.paruvendu.fr/a/voiture-occasion/smart/fortwo/1275117081A1KVVOSMFTW
Fiat;500;4000;2014;90108;Essence;Manuelle;2;4;4;117;5.0;Gris;https://www.paruvendu.fr/a/voiture-occasion/fiat/500/1275116976A1KVVOFI500
Ford;Mustang;39900;2017;42000;Essence;Manuelle;2;21;4;184;8.2;Rouge;https://www.paruvendu.fr/a/voiture-occasion/ford/mustang/1274400303A1KVVOFOMUS
Renault;Captur;11500;2017;133000;Essence;Manuelle;4;6;5;125;5.5;Ivoire;https://www.paruvendu.fr/a/voiture-occasion/renault/captur/1274669910A1KVVORECAP
Peugeot;208;8790;2014;2700;Essence;Manuelle;4;4;5;99;4.3;Rouge;https://www.paruvendu.fr/a/voiture-occasion/peugeot/208/1272528695A1KVVOPE208
Skoda;Fabia;8800;2016;95600;Essence;Manuelle;4;4;5;106;4.7;Bleu;https://www.paruvendu.fr/a/voiture-occasion/skoda/fabia/1275094262A1KVVOSKFAB
Renault;Megane;11500;2017;107500;Essence;Automatique;4;7;5;124;5.5;Bleu;https://www.paruvendu.fr/a/voiture-occasion/renault/megane-iv/1275027789A1KVVOREME4
Renault;Captur;12500;2016;57400;Essence;Automatique;4;6;5;125;5.5;Blanc;https://www.paruvendu.fr/a/voiture-occasion/renault/captur/1275009201A1KVVORECAP
Mercedes;Classe b;22490;2019;31500;Essence;Manuelle;4;8;5;124;5.4;Noir;https://www.paruvendu.fr/a/voiture-occasion/mercedes/classe-b/1275017760A1KVVOMEB
Volkswagen;Touran;25800;2019;45000;Essence;Manuelle;4;8;7;127;5.9;Blanc;https://www.paruvendu.fr/a/voiture-occasion/volkswagen/touran/1274676626A1KVVOVWTOU
Peugeot;108;7000;2015;81800;Essence;Manuelle;2;4;4;95;4.1;Noir;https://www.paruvendu.fr/a/voiture-occasion/peugeot/108/1274970436A1KVVOPE108
Hyundai;I30;19500;2019;38000;Essence;Semi automatique;4;7;5;123;5.4;Noir;https://www.paruvendu.fr/a/voiture-occasion/hyundai/i30/1275041421A1KVVOHYI30
Audi;A4;18500;2016;116000;Essence;Automatique;4;10;5;126;5.6;Gris;https://www.paruvendu.fr/a/voiture-occasion/audi/a4/1273350933A1KVVOAUA4
Peugeot;3008;14000;2018;106000;Essence;Automatique;4;7;5;120;5.5;Blanc;https://www.paruvendu.fr/a/voiture-occasion/peugeot/3008/1275060078A1KVVOPE3M8
Hyundai;I10;10000;2015;53600;Essence;Manuelle;4;5;5;114;4.9;Bleu;https://www.paruvendu.fr/a/voiture-occasion/hyundai/i10/1275042830A1KVVOHYI10
Hyundai;I20;14500;2018;40000;Essence;Semi automatique;4;5;5;111;4.8;Gris;https://www.paruvendu.fr/a/voiture-occasion/hyundai/i20/1274947789A1KVVOHYI20
Abarth;595;18600;2019;52000;Essence;Semi automatique;2;9;4;145;5.8;Gris;https://www.paruvendu.fr/a/voiture-occasion/abarth/595/1274991496A1KVVOAB595
Fiat;Panda;8800;2019;19500;Essence;Manuelle;4;4;5;116;5.4;Blanc;https://www.paruvendu.fr/a/voiture-occasion/fiat/panda/1274977206A1KVVOFIPAN
Volkswagen;Touran;27000;2019;41000;Essence;Automatique;4;8;7;117;5.5;Gris;https://www.paruvendu.fr/a/voiture-occasion/volkswagen/touran/1274861370A1KVVOVWTOU
Jeep;Renegade;16500;2018;67000;Essence;Automatique;4;8;5;137;5.9;Noir;https://www.paruvendu.fr/a/voiture-occasion/jeep/renegade/1274973823A1KVVOJEREN
Suzuki;Jimny;20500;2015;45000;Essence;Manuelle;2;6;4;162;7.1;Gris;https://www.paruvendu.fr/a/voiture-occasion/suzuki/jimny/1274755770A1KVVOSUJIM
Renault;Scenic;18900;2018;60000;Essence;Manuelle;4;9;5;122;5.4;Vert;https://www.paruvendu.fr/a/voiture-occasion/renault/scenic-iv/1274774253A1KVVORESC4
Alfa romeo;Mito;15300;2018;77000;Essence;Semi automatique;2;9;4;124;5.4;Noir;https://www.paruvendu.fr/a/voiture-occasion/alfa-romeo/mito/1274798830A1KVVOALMIT
Skoda;Fabia;9990;2019;90000;Essence;Manuelle;4;4;5;111;4.9;Blanc;https://www.paruvendu.fr/a/voiture-occasion/skoda/fabia/1274968931A1KVVOSKFAB
Citroen;C3;5900;2016;108400;Essence;Manuelle;4;4;5;102;4.4;Gris;https://www.paruvendu.fr/a/voiture-occasion/citroen/c3/1274045005A1KVVOCIC3
Volkswagen;Golf;15290;2019;42743;Essence;Manuelle;4;6;5;104;4.7;Blanc;https://www.paruvendu.fr/a/voiture-occasion/volkswagen/golf/1274731620A1KVVOVWGOL
Audi;A3;18500;2016;88500;Essence;Manuelle;4;7;5;122;5.3;Gris;https://www.paruvendu.fr/a/voiture-occasion/audi/a3/1274952005A1KVVOAUA3
Opel;Mokka;14500;2017;90000;Essence;Manuelle;4;8;5;140;6.0;Marron;https://www.paruvendu.fr/a/voiture-occasion/opel/mokka/1274951844A1KVVOOPMOK
Kia;Rio;13000;2020;47000;Essence;Manuelle;4;5;5;109;4.8;Blanc;https://www.paruvendu.fr/a/voiture-occasion/kia/rio/1274951773A1KVVOKIRIO
Dacia;Sandero;4900;2014;95000;Essence;Manuelle;4;5;5;135;5.8;Blanc;https://www.paruvendu.fr/a/voiture-occasion/dacia/sandero/1274949472A1KVVODCSAN
Audi;A3;21950;2016;55668;Essence;Manuelle;2;8;4;114;4.9;Bleu;https://www.paruvendu.fr/a/voiture-occasion/audi/a3/1274949384A1KVVOAUA3
Audi;Tt;24950;2018;84125;Essence;Manuelle;2;10;2;138;5.9;Gris;https://www.paruvendu.fr/a/voiture-occasion/audi/tt/1269310670A1KVVOAUTT
Citroen;Ds3;7700;2017;109500;Essence;Manuelle;2;4;5;104;4.5;Gris;https://www.paruvendu.fr/a/voiture-occasion/citroen/ds3/1274947938A1KVVOCIDS3
Mercedes;Classe gla;20000;2014;22000;Essence;Automatique;4;8;5;138;5.9;Blanc;https://www.paruvendu.fr/a/voiture-occasion/mercedes/classe-gla/1274803229A1KVVOMEGLA
Bmw;Serie 1;13500;2015;119000;Essence;Manuelle;4;10;5;132;5.7;Blanc;https://www.paruvendu.fr/a/voiture-occasion/bmw/serie-1/1274939630A1KVVOBMS1
Citroen;C5;20000;2019;51800;Essence;Manuelle;4;7;5;118;5.3;Blanc;https://www.paruvendu.fr/a/voiture-occasion/citroen/c5-aircross/1261214508A1KVVOCIC5A
Mercedes;Classe a;19000;2017;95400;Essence;Manuelle;4;7;5;131;5.6;Blanc;https://www.paruvendu.fr/a/voiture-occasion/mercedes/classe-a/1274822505A1KVVOMEA
Citroen;C4;8700;2015;81000;Essence;Manuelle;4;4;5;107;4.6;Gris;https://www.paruvendu.fr/a/voiture-occasion/citroen/c4-cactus/1273824267A1KVVOCI4C
Peugeot;2008;13900;2018;59038;Essence;Automatique;4;6;5;110;4.8;Blanc;https://www.paruvendu.fr/a/voiture-occasion/peugeot/2008/1274805259A1KVVOPE2M8
Toyota;C-hr;14440;2017;98400;Essence;Manuelle;4;6;5;135;5.9;Gris;https://www.paruvendu.fr/a/voiture-occasion/toyota/c-hr/1274083633A1KVVOTOCHR
Peugeot;208;7500;2015;50000;Essence;Manuelle;2;4;5;99;4.3;Noir;https://www.paruvendu.fr/a/voiture-occasion/peugeot/208/1274347589A1KVVOPE208
Renault;Clio;9000;2017;130000;Essence;Manuelle;4;5;5;105;4.7;Gris;https://www.paruvendu.fr/a/voiture-occasion/renault/clio-iv/1272200163A1KVVORECL4
Renault;Megane;15000;2018;40000;Essence;Manuelle;4;7;5;119;5.3;Blanc;https://www.paruvendu.fr/a/voiture-occasion/renault/megane-iv/1273443617A1KVVOREME4
Renault;Clio;8500;2016;69832;Essence;Manuelle;4;4;5;127;5.6;Gris;https://www.paruvendu.fr/a/voiture-occasion/renault/clio-iv/1274897053A1KVVORECL4
Renault;Clio;9200;2016;22000;Essence;Manuelle;4;5;5;105;4.7;Blanc;https://www.paruvendu.fr/a/voiture-occasion/renault/clio-iv/1274878260A1KVVORECL4
Renault;Captur;11200;2016;32200;Essence;Manuelle;4;5;5;113;5.1;Gris;https://www.paruvendu.fr/a/voiture-occasion/renault/captur/1266040815A1KVVORECAP
Peugeot;3008;23000;2018;72000;Essence;Automatique;4;7;5;109;4.9;Gris;https://www.paruvendu.fr/a/voiture-occasion/peugeot/3008/1274630388A1KVVOPE3M8
Nissan;370;31000;2014;17000;Essence;Automatique;2;23;2;254;10.9;Noir;https://www.paruvendu.fr/a/voiture-occasion/nissan/370-z/1274905434A1KVVONI370
Peugeot;208;8600;2018;69000;Essence;Manuelle;4;4;5;104;4.5;Bleu;https://www.paruvendu.fr/a/voiture-occasion/peugeot/208/1274897504A1KVVOPE208
Citroen;C3;7500;2015;86400;Essence;Manuelle;4;6;5;115;5.0;Gris;https://www.paruvendu.fr/a/voiture-occasion/citroen/c3-picasso/1274173981A1KVVOCI3PI
Renault;Captur;11000;2018;105000;Essence;Manuelle;4;5;5;98;3.7;Rouge;https://www.paruvendu.fr/a/voiture-occasion/renault/captur/1274918190A1KVVORECAP
Peugeot;308;13500;2016;45450;Essence;Automatique;4;7;5;112;4.9;Blanc;https://www.paruvendu.fr/a/voiture-occasion/peugeot/308/1274549078A1KVVOPE308
Opel;Corsa;10000;2018;105000;Essence;Manuelle;4;6;5;128;5.5;Blanc;https://www.paruvendu.fr/a/voiture-occasion/opel/corsa/1274911929A1KVVOOPCOR
Renault;Clio;7500;2016;29000;Essence;Manuelle;4;4;5;127;5.6;Blanc;https://www.paruvendu.fr/a/voiture-occasion/renault/clio-iv/1273420793A1KVVORECL4
Peugeot;208;9500;2017;86000;Essence;Manuelle;4;5;5;99;4.3;Bleu;https://www.paruvendu.fr/a/voiture-occasion/peugeot/208/1274755864A1KVVOPE208
Mercedes;Classe gla;34300;2016;102500;Essence;Automatique;4;26;5;172;7.4;Blanc;https://www.paruvendu.fr/a/voiture-occasion/mercedes/classe-gla/1274737323A1KVVOMEGLA
Renault;Twingo;11000;2019;8000;Essence;Manuelle;4;4;4;100;4.4;Blanc;https://www.paruvendu.fr/a/voiture-occasion/renault/twingo-iii/1274733398A1KVVORETW3
Mercedes;Classe a;19990;2017;61000;Essence;Automatique;4;6;5;126;5.4;Gris;https://www.paruvendu.fr/a/voiture-occasion/mercedes/classe-a/1274729366A1KVVOMEA
Bmw;Serie 1;15500;2017;61300;Essence;Manuelle;4;6;5;116;5.0;Noir;https://www.paruvendu.fr/a/voiture-occasion/bmw/serie-1/1274718981A1KVVOBMS1
Citroen;C4;8500;2017;73000;Essence;Manuelle;4;6;5;112;4.8;Gris;https://www.paruvendu.fr/a/voiture-occasion/citroen/c4/1274716951A1KVVOCIC4
Renault;Clio;9790;2016;85600;Essence;Manuelle;4;5;5;105;4.7;Gris;https://www.paruvendu.fr/a/voiture-occasion/renault/clio-iv/1271283128A1KVVORECL4
Renault;Clio;12000;2019;22000;Essence;Manuelle;4;4;5;114;5.0;Blanc;https://www.paruvendu.fr/a/voiture-occasion/renault/clio-iv/1274714654A1KVVORECL4
Volkswagen;T-roc;21800;2020;50000;Essence;Manuelle;4;8;5;117;5.4;Bleu;https://www.paruvendu.fr/a/voiture-occasion/volkswagen/t-roc/1274400830A1KVVOVWTRO
Renault;Twingo;9500;2017;61000;Essence;Manuelle;4;4;4;99;4.3;Gris;https://www.paruvendu.fr/a/voiture-occasion/renault/twingo-iii/1274674940A1KVVORETW3
Audi;A1;14000;2017;73500;Essence;Manuelle;4;5;4;97;4.2;Blanc;https://www.paruvendu.fr/a/voiture-occasion/audi/a1/1273930782A1KVVOAUA1
Opel;Crossland x;14500;2018;57000;Essence;Manuelle;4;6;5;111;4.9;Rouge;https://www.paruvendu.fr/a/voiture-occasion/opel/crossland-x/1273287825A1KVVOOPCRO
Peugeot;2008;8500;2015;137000;Essence;Manuelle;4;5;5;103;4.4;Gris;https://www.paruvendu.fr/a/voiture-occasion/peugeot/2008/1274626686A1KVVOPE2M8
Citroen;C3;12000;2019;38000;Essence;Manuelle;4;4;5;108;5.0;Gris;https://www.paruvendu.fr/a/voiture-occasion/citroen/c3/1274362247A1KVVOCIC3
Peugeot;3008;18000;2018;70000;Essence;Manuelle;4;7;5;117;5.2;Blanc;https://www.paruvendu.fr/a/voiture-occasion/peugeot/3008/1272397563A1KVVOPE3M8
Citroen;C4;11990;2016;57460;Essence;Manuelle;4;6;5;112;4.8;Gris;https://www.paruvendu.fr/a/voiture-occasion/citroen/c4/1274169137A1KVVOCIC4
Citroen;Ds3;9990;2015;106000;Essence;Manuelle;2;5;5;104;4.5;Noir;https://www.paruvendu.fr/a/voiture-occasion/citroen/ds3/1274411532A1KVVOCIDS3
